"Feature","Description"
"TANF_PAYMENTS_X_MEDICAID_PAYER_DOC","'Average monthly TANF payments' X 'Medicaid payer code is Department of Corrections'"
"TANF_PAYMENTS_X_MEDICAID_PAYER_AIDS","'Average monthly TANF payments' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"TANF_PAYMENTS_X_MEDICAID_PAYER_ORS","'Average monthly TANF payments' X 'Medicaid payer code is ORS'"
"TANF_PAYMENTS_X_MEDICAID_PAYER_RIPAE","'Average monthly TANF payments' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"TANF_PAYMENTS_X_DHS_HH_BIRTH","'Average monthly TANF payments' X 'New birth in the DHS household'"
"TANF_PAYMENTS_X_GEOCODED","'Average monthly TANF payments' X 'Has a geocoded home address'"
"TANF_PAYMENTS_X_BLKGRP_MEDIANINCOME","'Average monthly TANF payments' X 'Block group's median annual household income (2015 dollars)'"
"TANF_PAYMENTS_X_BLKGRP_BELOWFPL","'Average monthly TANF payments' X 'Share of block group below poverty line'"
"TANF_PAYMENTS_X_AGE_1","'Average monthly TANF payments' X 'Age is 18-23'"
"TANF_PAYMENTS_X_AGE_2","'Average monthly TANF payments' X 'Age is 24-29'"
"TANF_PAYMENTS_X_AGE_3","'Average monthly TANF payments' X 'Age is 30-39'"
"TANF_PAYMENTS_X_AGE_4","'Average monthly TANF payments' X 'Age is 40-54'"
"TANF_PAYMENTS_X_AGE_5","'Average monthly TANF payments' X 'Age is 55-64'"
"TANF_PAYMENTS_X_AGE_6","'Average monthly TANF payments' X 'Age is 65+'"
"TANF_PAYMENTS_X_BMI_UNDER","'Average monthly TANF payments' X 'Body mass index is underweight'"
"TANF_PAYMENTS_X_BMI_OVER","'Average monthly TANF payments' X 'Body mass index is overweight'"
"TANF_PAYMENTS_X_BMI_OBESE","'Average monthly TANF payments' X 'Body mass index is obese'"
"TANF_PAYMENTS_X_BMI_MISSING","'Average monthly TANF payments' X 'Body mass index is missing'"
"TANF_PAYMENTS_X_MARRIED","'Average monthly TANF payments' X 'Married'"
"TANF_PAYMENTS_X_MARRIED_MISSING","'Average monthly TANF payments' X 'Marital status is missing'"
"TANF_PAYMENTS_X_RACE_BLACK","'Average monthly TANF payments' X 'Race is African American'"
"TANF_PAYMENTS_X_RACE_HISPANIC","'Average monthly TANF payments' X 'Ethnicity is Hispanic'"
"TANF_PAYMENTS_X_RACE_OTHER","'Average monthly TANF payments' X 'Race is Asian, Native American, or other'"
"TANF_PAYMENTS_X_RACE_MISSING","'Average monthly TANF payments' X 'Race is missing'"
"TDI_PAYMENTS_X_RI_UNEMPLOYMENT","'Average monthly TDI payments' X 'Average Rhode Island unemployment rate'"
"TDI_PAYMENTS_X_NAICS_UNEMPLOYMENT","'Average monthly TDI payments' X 'National annual unemployment rate for worker's industry'"
"TDI_PAYMENTS_X_UI_EXHAUSTION","'Average monthly TDI payments' X 'Exhausted UI benefits'"
"TDI_PAYMENTS_X_WAGES","'Average monthly TDI payments' X 'Wages in previous quarter'"
"TDI_PAYMENTS_X_EMPLOYERS","'Average monthly TDI payments' X 'Number of employers in previous quarter'"
"TDI_PAYMENTS_X_HAS_WAGES","'Average monthly TDI payments' X 'Has Rhode Island wages in previous quarter'"
"TDI_PAYMENTS_X_DOC_COMMITED","'Average monthly TDI payments' X 'Committed to a corrections facility'"
"TDI_PAYMENTS_X_DOC_RELEASED","'Average monthly TDI payments' X 'Released from a corrections facility'"
"TDI_PAYMENTS_X_DOC_CHARGED","'Average monthly TDI payments' X 'Charged with a crime'"
"TDI_PAYMENTS_X_MEDICAID_INST_PAY","'Average monthly TDI payments' X 'Average monthly medical payments to institutions'"
"TDI_PAYMENTS_X_MEDICAID_PROF_PAY","'Average monthly TDI payments' X 'Average monthly medical payments to professionals'"
"TDI_PAYMENTS_X_MEDICAID_NURS_PAY","'Average monthly TDI payments' X 'Average monthly medical payments to nursing homes'"
"TDI_PAYMENTS_X_MEDICAID_INST_BILL","'Average monthly TDI payments' X 'Average monthly medical bills from institutions'"
"TDI_PAYMENTS_X_MEDICAID_PROF_BILL","'Average monthly TDI payments' X 'Average monthly medical bills from professionals'"
"TDI_PAYMENTS_X_MEDICAID_NURS_BILL","'Average monthly TDI payments' X 'Average monthly medical bills from nursing homes'"
"TDI_PAYMENTS_X_MEDICAID_INST_VISITS","'Average monthly TDI payments' X 'Average monthly medical visits to institutions'"
"TDI_PAYMENTS_X_MEDICAID_PROF_VISITS","'Average monthly TDI payments' X 'Average monthly medical visits to professionals'"
"TDI_PAYMENTS_X_MEDICAID_NURS_VISITS","'Average monthly TDI payments' X 'Average monthly medical visits to nursing homes'"
"TDI_PAYMENTS_X_MEDICAID_ED_PAY","'Average monthly TDI payments' X 'Average monthly ED payments'"
"TDI_PAYMENTS_X_MEDICAID_ED_PC_PAY","'Average monthly TDI payments' X 'Average monthly PC-treatable ED payments'"
"TDI_PAYMENTS_X_MEDICAID_ED_BILL","'Average monthly TDI payments' X 'Average monthly ED bills'"
"TDI_PAYMENTS_X_MEDICAID_ED_PC_BILL","'Average monthly TDI payments' X 'Average monthly PC-treatable ED bills'"
"TDI_PAYMENTS_X_MEDICAID_ED_VISITS","'Average monthly TDI payments' X 'Average monthly ED visits'"
"TDI_PAYMENTS_X_MEDICAID_ED_PC_VISITS","'Average monthly TDI payments' X 'Average monthly PC-tretable ED visits'"
"TDI_PAYMENTS_X_MEDICAID_RX_COST","'Average monthly TDI payments' X 'Average monthly pharmcy costs'"
"TDI_PAYMENTS_X_MEDICAID_RX_DRUGS","'Average monthly TDI payments' X 'Average monthly number of prescription drugs'"
"TDI_PAYMENTS_X_SEX_M","'Average monthly TDI payments' X 'Sex is male'"
"TDI_PAYMENTS_X_LANG_SPANISH","'Average monthly TDI payments' X 'Primary language is Spanish'"
"TDI_PAYMENTS_X_LANG_PORTU","'Average monthly TDI payments' X 'Primary language is Portuguese'"
"TDI_PAYMENTS_X_LANG_OTHER","'Average monthly TDI payments' X 'Primary language is not English, Spanish, or Portuguese'"
"TDI_PAYMENTS_X_MEDICAID_N_IDS","'Average monthly TDI payments' X 'Number of unique Medicaid IDs'"
"TDI_PAYMENTS_X_MEDICAID_PREGNANT","'Average monthly TDI payments' X 'Medicaid eligibility contains 'pregnant''"
"TDI_PAYMENTS_X_MEDICAID_POSTPARTUM","'Average monthly TDI payments' X 'Medicaid eligibility contains 'postpartum''"
"TDI_PAYMENTS_X_MEDICAID_BLIND","'Average monthly TDI payments' X 'Medicaid eligibility contains 'blind''"
"TDI_PAYMENTS_X_MEDICAID_DISABLED","'Average monthly TDI payments' X 'Medicaid eligibility contains 'disabled''"
"TDI_PAYMENTS_X_MEDICAID_ALIEN","'Average monthly TDI payments' X 'Medicaid eligibility contains 'alien''"
"TDI_PAYMENTS_X_MEDICAID_CHILD","'Average monthly TDI payments' X 'Medicaid eligibility contains 'child''"
"TDI_PAYMENTS_X_MEDICAID_MED_NEEDY","'Average monthly TDI payments' X 'Medicaid eligibility as medically needy'"
"TDI_PAYMENTS_X_MEDICAID_MANAGED_CARE","'Average monthly TDI payments' X 'Enrolled in Medicaid managed care'"
"TDI_PAYMENTS_X_MEDICAID_PREM_PAYMENT","'Average monthly TDI payments' X 'Enrolled in Medicaid premium payment plan'"
"TDI_PAYMENTS_X_MEDICAID_PAYER_CMAP","'Average monthly TDI payments' X 'Enrolled in RI Community Medication Assistance Program'"
"TDI_PAYMENTS_X_MEDICAID_PAYER_DOC","'Average monthly TDI payments' X 'Medicaid payer code is Department of Corrections'"
"TDI_PAYMENTS_X_MEDICAID_PAYER_AIDS","'Average monthly TDI payments' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"TDI_PAYMENTS_X_MEDICAID_PAYER_ORS","'Average monthly TDI payments' X 'Medicaid payer code is ORS'"
"TDI_PAYMENTS_X_MEDICAID_PAYER_RIPAE","'Average monthly TDI payments' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"TDI_PAYMENTS_X_DHS_HH_BIRTH","'Average monthly TDI payments' X 'New birth in the DHS household'"
"TDI_PAYMENTS_X_GEOCODED","'Average monthly TDI payments' X 'Has a geocoded home address'"
"TDI_PAYMENTS_X_BLKGRP_MEDIANINCOME","'Average monthly TDI payments' X 'Block group's median annual household income (2015 dollars)'"
"TDI_PAYMENTS_X_BLKGRP_BELOWFPL","'Average monthly TDI payments' X 'Share of block group below poverty line'"
"TDI_PAYMENTS_X_AGE_1","'Average monthly TDI payments' X 'Age is 18-23'"
"TDI_PAYMENTS_X_AGE_2","'Average monthly TDI payments' X 'Age is 24-29'"
"TDI_PAYMENTS_X_AGE_3","'Average monthly TDI payments' X 'Age is 30-39'"
"TDI_PAYMENTS_X_AGE_4","'Average monthly TDI payments' X 'Age is 40-54'"
"TDI_PAYMENTS_X_AGE_5","'Average monthly TDI payments' X 'Age is 55-64'"
"TDI_PAYMENTS_X_AGE_6","'Average monthly TDI payments' X 'Age is 65+'"
"TDI_PAYMENTS_X_BMI_UNDER","'Average monthly TDI payments' X 'Body mass index is underweight'"
"TDI_PAYMENTS_X_BMI_OVER","'Average monthly TDI payments' X 'Body mass index is overweight'"
"TDI_PAYMENTS_X_BMI_OBESE","'Average monthly TDI payments' X 'Body mass index is obese'"
"TDI_PAYMENTS_X_BMI_MISSING","'Average monthly TDI payments' X 'Body mass index is missing'"
"TDI_PAYMENTS_X_MARRIED","'Average monthly TDI payments' X 'Married'"
"TDI_PAYMENTS_X_MARRIED_MISSING","'Average monthly TDI payments' X 'Marital status is missing'"
"TDI_PAYMENTS_X_RACE_BLACK","'Average monthly TDI payments' X 'Race is African American'"
"TDI_PAYMENTS_X_RACE_HISPANIC","'Average monthly TDI payments' X 'Ethnicity is Hispanic'"
"TDI_PAYMENTS_X_RACE_OTHER","'Average monthly TDI payments' X 'Race is Asian, Native American, or other'"
"TDI_PAYMENTS_X_RACE_MISSING","'Average monthly TDI payments' X 'Race is missing'"
"UI_PAYMENTS_X_RI_UNEMPLOYMENT","'Average monthly UI payments' X 'Average Rhode Island unemployment rate'"
"UI_PAYMENTS_X_NAICS_UNEMPLOYMENT","'Average monthly UI payments' X 'National annual unemployment rate for worker's industry'"
"UI_PAYMENTS_X_UI_EXHAUSTION","'Average monthly UI payments' X 'Exhausted UI benefits'"
"UI_PAYMENTS_X_WAGES","'Average monthly UI payments' X 'Wages in previous quarter'"
"UI_PAYMENTS_X_EMPLOYERS","'Average monthly UI payments' X 'Number of employers in previous quarter'"
"UI_PAYMENTS_X_HAS_WAGES","'Average monthly UI payments' X 'Has Rhode Island wages in previous quarter'"
"UI_PAYMENTS_X_DOC_COMMITED","'Average monthly UI payments' X 'Committed to a corrections facility'"
"UI_PAYMENTS_X_DOC_RELEASED","'Average monthly UI payments' X 'Released from a corrections facility'"
"UI_PAYMENTS_X_DOC_CHARGED","'Average monthly UI payments' X 'Charged with a crime'"
"UI_PAYMENTS_X_MEDICAID_INST_PAY","'Average monthly UI payments' X 'Average monthly medical payments to institutions'"
"UI_PAYMENTS_X_MEDICAID_PROF_PAY","'Average monthly UI payments' X 'Average monthly medical payments to professionals'"
"UI_PAYMENTS_X_MEDICAID_NURS_PAY","'Average monthly UI payments' X 'Average monthly medical payments to nursing homes'"
"UI_PAYMENTS_X_MEDICAID_INST_BILL","'Average monthly UI payments' X 'Average monthly medical bills from institutions'"
"UI_PAYMENTS_X_MEDICAID_PROF_BILL","'Average monthly UI payments' X 'Average monthly medical bills from professionals'"
"UI_PAYMENTS_X_MEDICAID_NURS_BILL","'Average monthly UI payments' X 'Average monthly medical bills from nursing homes'"
"UI_PAYMENTS_X_MEDICAID_INST_VISITS","'Average monthly UI payments' X 'Average monthly medical visits to institutions'"
"UI_PAYMENTS_X_MEDICAID_PROF_VISITS","'Average monthly UI payments' X 'Average monthly medical visits to professionals'"
"UI_PAYMENTS_X_MEDICAID_NURS_VISITS","'Average monthly UI payments' X 'Average monthly medical visits to nursing homes'"
"UI_PAYMENTS_X_MEDICAID_ED_PAY","'Average monthly UI payments' X 'Average monthly ED payments'"
"UI_PAYMENTS_X_MEDICAID_ED_PC_PAY","'Average monthly UI payments' X 'Average monthly PC-treatable ED payments'"
"UI_PAYMENTS_X_MEDICAID_ED_BILL","'Average monthly UI payments' X 'Average monthly ED bills'"
"UI_PAYMENTS_X_MEDICAID_ED_PC_BILL","'Average monthly UI payments' X 'Average monthly PC-treatable ED bills'"
"UI_PAYMENTS_X_MEDICAID_ED_VISITS","'Average monthly UI payments' X 'Average monthly ED visits'"
"UI_PAYMENTS_X_MEDICAID_ED_PC_VISITS","'Average monthly UI payments' X 'Average monthly PC-tretable ED visits'"
"UI_PAYMENTS_X_MEDICAID_RX_COST","'Average monthly UI payments' X 'Average monthly pharmcy costs'"
"UI_PAYMENTS_X_MEDICAID_RX_DRUGS","'Average monthly UI payments' X 'Average monthly number of prescription drugs'"
"UI_PAYMENTS_X_SEX_M","'Average monthly UI payments' X 'Sex is male'"
"UI_PAYMENTS_X_LANG_SPANISH","'Average monthly UI payments' X 'Primary language is Spanish'"
"UI_PAYMENTS_X_LANG_PORTU","'Average monthly UI payments' X 'Primary language is Portuguese'"
"UI_PAYMENTS_X_LANG_OTHER","'Average monthly UI payments' X 'Primary language is not English, Spanish, or Portuguese'"
"UI_PAYMENTS_X_MEDICAID_N_IDS","'Average monthly UI payments' X 'Number of unique Medicaid IDs'"
"UI_PAYMENTS_X_MEDICAID_PREGNANT","'Average monthly UI payments' X 'Medicaid eligibility contains 'pregnant''"
"UI_PAYMENTS_X_MEDICAID_POSTPARTUM","'Average monthly UI payments' X 'Medicaid eligibility contains 'postpartum''"
"UI_PAYMENTS_X_MEDICAID_BLIND","'Average monthly UI payments' X 'Medicaid eligibility contains 'blind''"
"UI_PAYMENTS_X_MEDICAID_DISABLED","'Average monthly UI payments' X 'Medicaid eligibility contains 'disabled''"
"UI_PAYMENTS_X_MEDICAID_ALIEN","'Average monthly UI payments' X 'Medicaid eligibility contains 'alien''"
"UI_PAYMENTS_X_MEDICAID_CHILD","'Average monthly UI payments' X 'Medicaid eligibility contains 'child''"
"UI_PAYMENTS_X_MEDICAID_MED_NEEDY","'Average monthly UI payments' X 'Medicaid eligibility as medically needy'"
"UI_PAYMENTS_X_MEDICAID_MANAGED_CARE","'Average monthly UI payments' X 'Enrolled in Medicaid managed care'"
"UI_PAYMENTS_X_MEDICAID_PREM_PAYMENT","'Average monthly UI payments' X 'Enrolled in Medicaid premium payment plan'"
"UI_PAYMENTS_X_MEDICAID_PAYER_CMAP","'Average monthly UI payments' X 'Enrolled in RI Community Medication Assistance Program'"
"UI_PAYMENTS_X_MEDICAID_PAYER_DOC","'Average monthly UI payments' X 'Medicaid payer code is Department of Corrections'"
"UI_PAYMENTS_X_MEDICAID_PAYER_AIDS","'Average monthly UI payments' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"UI_PAYMENTS_X_MEDICAID_PAYER_ORS","'Average monthly UI payments' X 'Medicaid payer code is ORS'"
"UI_PAYMENTS_X_MEDICAID_PAYER_RIPAE","'Average monthly UI payments' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"UI_PAYMENTS_X_DHS_HH_BIRTH","'Average monthly UI payments' X 'New birth in the DHS household'"
"UI_PAYMENTS_X_GEOCODED","'Average monthly UI payments' X 'Has a geocoded home address'"
"UI_PAYMENTS_X_BLKGRP_MEDIANINCOME","'Average monthly UI payments' X 'Block group's median annual household income (2015 dollars)'"
"UI_PAYMENTS_X_BLKGRP_BELOWFPL","'Average monthly UI payments' X 'Share of block group below poverty line'"
"UI_PAYMENTS_X_AGE_1","'Average monthly UI payments' X 'Age is 18-23'"
"UI_PAYMENTS_X_AGE_2","'Average monthly UI payments' X 'Age is 24-29'"
"UI_PAYMENTS_X_AGE_3","'Average monthly UI payments' X 'Age is 30-39'"
"UI_PAYMENTS_X_AGE_4","'Average monthly UI payments' X 'Age is 40-54'"
"UI_PAYMENTS_X_AGE_5","'Average monthly UI payments' X 'Age is 55-64'"
"UI_PAYMENTS_X_AGE_6","'Average monthly UI payments' X 'Age is 65+'"
"UI_PAYMENTS_X_BMI_UNDER","'Average monthly UI payments' X 'Body mass index is underweight'"
"UI_PAYMENTS_X_BMI_OVER","'Average monthly UI payments' X 'Body mass index is overweight'"
"UI_PAYMENTS_X_BMI_OBESE","'Average monthly UI payments' X 'Body mass index is obese'"
"UI_PAYMENTS_X_BMI_MISSING","'Average monthly UI payments' X 'Body mass index is missing'"
"UI_PAYMENTS_X_MARRIED","'Average monthly UI payments' X 'Married'"
"UI_PAYMENTS_X_MARRIED_MISSING","'Average monthly UI payments' X 'Marital status is missing'"
"UI_PAYMENTS_X_RACE_BLACK","'Average monthly UI payments' X 'Race is African American'"
"UI_PAYMENTS_X_RACE_HISPANIC","'Average monthly UI payments' X 'Ethnicity is Hispanic'"
"UI_PAYMENTS_X_RACE_OTHER","'Average monthly UI payments' X 'Race is Asian, Native American, or other'"
"UI_PAYMENTS_X_RACE_MISSING","'Average monthly UI payments' X 'Race is missing'"
"SNAP_X_RI_UNEMPLOYMENT","'Received SNAP' X 'Average Rhode Island unemployment rate'"
"SNAP_X_NAICS_UNEMPLOYMENT","'Received SNAP' X 'National annual unemployment rate for worker's industry'"
"SNAP_X_UI_EXHAUSTION","'Received SNAP' X 'Exhausted UI benefits'"
"SNAP_X_WAGES","'Received SNAP' X 'Wages in previous quarter'"
"SNAP_X_EMPLOYERS","'Received SNAP' X 'Number of employers in previous quarter'"
"SNAP_X_HAS_WAGES","'Received SNAP' X 'Has Rhode Island wages in previous quarter'"
"SNAP_X_DOC_COMMITED","'Received SNAP' X 'Committed to a corrections facility'"
"SNAP_X_DOC_RELEASED","'Received SNAP' X 'Released from a corrections facility'"
"SNAP_X_DOC_CHARGED","'Received SNAP' X 'Charged with a crime'"
"SNAP_X_MEDICAID_INST_PAY","'Received SNAP' X 'Average monthly medical payments to institutions'"
"SNAP_X_MEDICAID_PROF_PAY","'Received SNAP' X 'Average monthly medical payments to professionals'"
"SNAP_X_MEDICAID_NURS_PAY","'Received SNAP' X 'Average monthly medical payments to nursing homes'"
"SNAP_X_MEDICAID_INST_BILL","'Received SNAP' X 'Average monthly medical bills from institutions'"
"SNAP_X_MEDICAID_PROF_BILL","'Received SNAP' X 'Average monthly medical bills from professionals'"
"SNAP_X_MEDICAID_NURS_BILL","'Received SNAP' X 'Average monthly medical bills from nursing homes'"
"SNAP_X_MEDICAID_INST_VISITS","'Received SNAP' X 'Average monthly medical visits to institutions'"
"SNAP_X_MEDICAID_PROF_VISITS","'Received SNAP' X 'Average monthly medical visits to professionals'"
"SNAP_X_MEDICAID_NURS_VISITS","'Received SNAP' X 'Average monthly medical visits to nursing homes'"
"SNAP_X_MEDICAID_ED_PAY","'Received SNAP' X 'Average monthly ED payments'"
"SNAP_X_MEDICAID_ED_PC_PAY","'Received SNAP' X 'Average monthly PC-treatable ED payments'"
"SNAP_X_MEDICAID_ED_BILL","'Received SNAP' X 'Average monthly ED bills'"
"SNAP_X_MEDICAID_ED_PC_BILL","'Received SNAP' X 'Average monthly PC-treatable ED bills'"
"SNAP_X_MEDICAID_ED_VISITS","'Received SNAP' X 'Average monthly ED visits'"
"SNAP_X_MEDICAID_ED_PC_VISITS","'Received SNAP' X 'Average monthly PC-tretable ED visits'"
"SNAP_X_MEDICAID_RX_COST","'Received SNAP' X 'Average monthly pharmcy costs'"
"SNAP_X_MEDICAID_RX_DRUGS","'Received SNAP' X 'Average monthly number of prescription drugs'"
"SNAP_X_SEX_M","'Received SNAP' X 'Sex is male'"
"SNAP_X_LANG_SPANISH","'Received SNAP' X 'Primary language is Spanish'"
"SNAP_X_LANG_PORTU","'Received SNAP' X 'Primary language is Portuguese'"
"SNAP_X_LANG_OTHER","'Received SNAP' X 'Primary language is not English, Spanish, or Portuguese'"
"SNAP_X_MEDICAID_N_IDS","'Received SNAP' X 'Number of unique Medicaid IDs'"
"SNAP_X_MEDICAID_PREGNANT","'Received SNAP' X 'Medicaid eligibility contains 'pregnant''"
"SNAP_X_MEDICAID_POSTPARTUM","'Received SNAP' X 'Medicaid eligibility contains 'postpartum''"
"SNAP_X_MEDICAID_BLIND","'Received SNAP' X 'Medicaid eligibility contains 'blind''"
"SNAP_X_MEDICAID_DISABLED","'Received SNAP' X 'Medicaid eligibility contains 'disabled''"
"SNAP_X_MEDICAID_ALIEN","'Received SNAP' X 'Medicaid eligibility contains 'alien''"
"SNAP_X_MEDICAID_CHILD","'Received SNAP' X 'Medicaid eligibility contains 'child''"
"SNAP_X_MEDICAID_MED_NEEDY","'Received SNAP' X 'Medicaid eligibility as medically needy'"
"SNAP_X_MEDICAID_MANAGED_CARE","'Received SNAP' X 'Enrolled in Medicaid managed care'"
"SNAP_X_MEDICAID_PREM_PAYMENT","'Received SNAP' X 'Enrolled in Medicaid premium payment plan'"
"SNAP_X_MEDICAID_PAYER_CMAP","'Received SNAP' X 'Enrolled in RI Community Medication Assistance Program'"
"SNAP_X_MEDICAID_PAYER_DOC","'Received SNAP' X 'Medicaid payer code is Department of Corrections'"
"SNAP_X_MEDICAID_PAYER_AIDS","'Received SNAP' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"SNAP_X_MEDICAID_PAYER_ORS","'Received SNAP' X 'Medicaid payer code is ORS'"
"SNAP_X_MEDICAID_PAYER_RIPAE","'Received SNAP' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"SNAP_X_DHS_HH_BIRTH","'Received SNAP' X 'New birth in the DHS household'"
"SNAP_X_GEOCODED","'Received SNAP' X 'Has a geocoded home address'"
"SNAP_X_BLKGRP_MEDIANINCOME","'Received SNAP' X 'Block group's median annual household income (2015 dollars)'"
"SNAP_X_BLKGRP_BELOWFPL","'Received SNAP' X 'Share of block group below poverty line'"
"SNAP_X_AGE_1","'Received SNAP' X 'Age is 18-23'"
"SNAP_X_AGE_2","'Received SNAP' X 'Age is 24-29'"
"SNAP_X_AGE_3","'Received SNAP' X 'Age is 30-39'"
"SNAP_X_AGE_4","'Received SNAP' X 'Age is 40-54'"
"SNAP_X_AGE_5","'Received SNAP' X 'Age is 55-64'"
"SNAP_X_AGE_6","'Received SNAP' X 'Age is 65+'"
"SNAP_X_BMI_UNDER","'Received SNAP' X 'Body mass index is underweight'"
"SNAP_X_BMI_OVER","'Received SNAP' X 'Body mass index is overweight'"
"SNAP_X_BMI_OBESE","'Received SNAP' X 'Body mass index is obese'"
"SNAP_X_BMI_MISSING","'Received SNAP' X 'Body mass index is missing'"
"SNAP_X_MARRIED","'Received SNAP' X 'Married'"
"SNAP_X_MARRIED_MISSING","'Received SNAP' X 'Marital status is missing'"
"SNAP_X_RACE_BLACK","'Received SNAP' X 'Race is African American'"
"SNAP_X_RACE_HISPANIC","'Received SNAP' X 'Ethnicity is Hispanic'"
"SNAP_X_RACE_OTHER","'Received SNAP' X 'Race is Asian, Native American, or other'"
"SNAP_X_RACE_MISSING","'Received SNAP' X 'Race is missing'"
"TANF_X_RI_UNEMPLOYMENT","'Received TANF' X 'Average Rhode Island unemployment rate'"
"TANF_X_NAICS_UNEMPLOYMENT","'Received TANF' X 'National annual unemployment rate for worker's industry'"
"TANF_X_UI_EXHAUSTION","'Received TANF' X 'Exhausted UI benefits'"
"TANF_X_WAGES","'Received TANF' X 'Wages in previous quarter'"
"TANF_X_EMPLOYERS","'Received TANF' X 'Number of employers in previous quarter'"
"TANF_X_HAS_WAGES","'Received TANF' X 'Has Rhode Island wages in previous quarter'"
"TANF_X_DOC_COMMITED","'Received TANF' X 'Committed to a corrections facility'"
"TANF_X_DOC_RELEASED","'Received TANF' X 'Released from a corrections facility'"
"TANF_X_DOC_CHARGED","'Received TANF' X 'Charged with a crime'"
"TANF_X_MEDICAID_INST_PAY","'Received TANF' X 'Average monthly medical payments to institutions'"
"TANF_X_MEDICAID_PROF_PAY","'Received TANF' X 'Average monthly medical payments to professionals'"
"TANF_X_MEDICAID_NURS_PAY","'Received TANF' X 'Average monthly medical payments to nursing homes'"
"TANF_X_MEDICAID_INST_BILL","'Received TANF' X 'Average monthly medical bills from institutions'"
"TANF_X_MEDICAID_PROF_BILL","'Received TANF' X 'Average monthly medical bills from professionals'"
"TANF_X_MEDICAID_NURS_BILL","'Received TANF' X 'Average monthly medical bills from nursing homes'"
"TANF_X_MEDICAID_INST_VISITS","'Received TANF' X 'Average monthly medical visits to institutions'"
"TANF_X_MEDICAID_PROF_VISITS","'Received TANF' X 'Average monthly medical visits to professionals'"
"TANF_X_MEDICAID_NURS_VISITS","'Received TANF' X 'Average monthly medical visits to nursing homes'"
"TANF_X_MEDICAID_ED_PAY","'Received TANF' X 'Average monthly ED payments'"
"TANF_X_MEDICAID_ED_PC_PAY","'Received TANF' X 'Average monthly PC-treatable ED payments'"
"TANF_X_MEDICAID_ED_BILL","'Received TANF' X 'Average monthly ED bills'"
"TANF_X_MEDICAID_ED_PC_BILL","'Received TANF' X 'Average monthly PC-treatable ED bills'"
"TANF_X_MEDICAID_ED_VISITS","'Received TANF' X 'Average monthly ED visits'"
"TANF_X_MEDICAID_ED_PC_VISITS","'Received TANF' X 'Average monthly PC-tretable ED visits'"
"TANF_X_MEDICAID_RX_COST","'Received TANF' X 'Average monthly pharmcy costs'"
"TANF_X_MEDICAID_RX_DRUGS","'Received TANF' X 'Average monthly number of prescription drugs'"
"TANF_X_SEX_M","'Received TANF' X 'Sex is male'"
"TANF_X_LANG_SPANISH","'Received TANF' X 'Primary language is Spanish'"
"TANF_X_LANG_PORTU","'Received TANF' X 'Primary language is Portuguese'"
"TANF_X_LANG_OTHER","'Received TANF' X 'Primary language is not English, Spanish, or Portuguese'"
"TANF_X_MEDICAID_N_IDS","'Received TANF' X 'Number of unique Medicaid IDs'"
"TANF_X_MEDICAID_PREGNANT","'Received TANF' X 'Medicaid eligibility contains 'pregnant''"
"TANF_X_MEDICAID_POSTPARTUM","'Received TANF' X 'Medicaid eligibility contains 'postpartum''"
"TANF_X_MEDICAID_BLIND","'Received TANF' X 'Medicaid eligibility contains 'blind''"
"TANF_X_MEDICAID_DISABLED","'Received TANF' X 'Medicaid eligibility contains 'disabled''"
"TANF_X_MEDICAID_ALIEN","'Received TANF' X 'Medicaid eligibility contains 'alien''"
"TANF_X_MEDICAID_CHILD","'Received TANF' X 'Medicaid eligibility contains 'child''"
"TANF_X_MEDICAID_MED_NEEDY","'Received TANF' X 'Medicaid eligibility as medically needy'"
"TANF_X_MEDICAID_MANAGED_CARE","'Received TANF' X 'Enrolled in Medicaid managed care'"
"TANF_X_MEDICAID_PREM_PAYMENT","'Received TANF' X 'Enrolled in Medicaid premium payment plan'"
"TANF_X_MEDICAID_PAYER_CMAP","'Received TANF' X 'Enrolled in RI Community Medication Assistance Program'"
"TANF_X_MEDICAID_PAYER_DOC","'Received TANF' X 'Medicaid payer code is Department of Corrections'"
"TANF_X_MEDICAID_PAYER_AIDS","'Received TANF' X 'Medicaid payer code is Ryan White AIDS Drug Assistance Program'"
"TANF_X_MEDICAID_PAYER_ORS","'Received TANF' X 'Medicaid payer code is ORS'"
"TANF_X_MEDICAID_PAYER_RIPAE","'Received TANF' X 'Enrolled in RI Pharmaceutical Assistance to the Elderly'"
"TANF_X_DHS_HH_BIRTH","'Received TANF' X 'New birth in the DHS household'"
"TANF_X_GEOCODED","'Received TANF' X 'Has a geocoded home address'"
"TANF_X_BLKGRP_MEDIANINCOME","'Received TANF' X 'Block group's median annual household income (2015 dollars)'"
"TANF_X_BLKGRP_BELOWFPL","'Received TANF' X 'Share of block group below poverty line'"
"TANF_X_AGE_1","'Received TANF' X 'Age is 18-23'"
"TANF_X_AGE_2","'Received TANF' X 'Age is 24-29'"
